ori2000,predict2000
2000,2000
2000,4000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
4000,2000
2000,2000
2000,2000
4000,2000
6000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,4000
2000,2000
4000,2000
8000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
10000,4000
4000,2000
8000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
4000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
8000,2000
8000,2000
4000,2000
4000,2000
6000,2000
2000,2000
6000,2000
2000,2000
2000,2000
4000,2000
2000,4000
2000,2000
4000,2000
8000,2000
10000,2000
6000,2000
6000,2000
4000,4000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
8000,2000
4000,2000
2000,2000
2000,4000
2000,2000
4000,2000
2000,2000
4000,2000
6000,4000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
10000,2000
6000,2000
2000,2000
8000,2000
2000,2000
2000,2000
2000,2000
2000,4000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
8000,2000
4000,2000
4000,2000
10000,2000
8000,2000
8000,4000
6000,2000
6000,2000
8000,2000
2000,2000
4000,4000
6000,2000
2000,2000
6000,2000
10000,2000
2000,2000
6000,2000
10000,2000
2000,2000
2000,2000
4000,2000
6000,2000
6000,4000
6000,2000
4000,2000
4000,4000
2000,2000
4000,2000
2000,2000
2000,4000
2000,2000
4000,2000
6000,4000
2000,2000
4000,2000
2000,2000
10000,2000
2000,2000
2000,2000
2000,2000
4000,4000
4000,2000
6000,2000
8000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
6000,2000
8000,2000
8000,2000
10000,2000
4000,2000
8000,2000
4000,2000
6000,2000
6000,2000
4000,2000
2000,2000
2000,2000
8000,6000
10000,2000
10000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
2000,2000
4000,2000
10000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
4000,2000
8000,2000
4000,2000
2000,2000
2000,2000
10000,2000
2000,2000
4000,2000
4000,2000
6000,2000
4000,4000
10000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
10000,2000
2000,2000
2000,2000
10000,2000
6000,2000
6000,2000
2000,2000
2000,2000
6000,2000
4000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
4000,2000
6000,4000
2000,2000
4000,2000
4000,2000
4000,2000
6000,2000
4000,2000
2000,2000
4000,2000
2000,2000
6000,2000
6000,2000
2000,2000
4000,2000
4000,2000
6000,2000
4000,2000
6000,2000
2000,2000
4000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
8000,2000
6000,2000
4000,2000
2000,4000
6000,2000
10000,2000
4000,2000
4000,2000
2000,2000
8000,2000
4000,2000
4000,2000
6000,2000
4000,4000
2000,2000
2000,2000
4000,2000
2000,2000
4000,2000
4000,2000
4000,2000
4000,4000
4000,2000
6000,2000
4000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
6000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
4000,2000
4000,2000
6000,2000
6000,2000
4000,2000
6000,2000
2000,2000
2000,2000
6000,4000
4000,2000
4000,2000
2000,2000
4000,2000
10000,2000
6000,2000
2000,2000
2000,2000
2000,2000
6000,2000
8000,2000
8000,2000
4000,2000
4000,2000
8000,2000
6000,2000
6000,2000
4000,2000
2000,4000
4000,2000
2000,2000
2000,4000
2000,2000
2000,2000
2000,2000
10000,2000
2000,2000
10000,2000
2000,4000
2000,2000
2000,2000
4000,4000
6000,2000
6000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,4000
2000,2000
4000,2000
6000,2000
4000,2000
4000,2000
8000,2000
4000,2000
2000,2000
8000,4000
6000,2000
2000,2000
10000,2000
2000,2000
4000,4000
4000,2000
4000,2000
6000,4000
10000,2000
4000,2000
10000,2000
2000,2000
2000,2000
2000,2000
6000,2000
10000,2000
2000,2000
8000,2000
2000,2000
6000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
4000,2000
2000,4000
4000,2000
2000,2000
2000,4000
4000,2000
4000,2000
2000,2000
4000,2000
10000,2000
8000,4000
2000,2000
4000,2000
4000,2000
2000,2000
2000,4000
4000,2000
4000,2000
2000,2000
2000,4000
8000,2000
2000,2000
10000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
4000,2000
6000,2000
2000,2000
4000,2000
2000,2000
2000,4000
2000,4000
2000,2000
4000,2000
4000,2000
2000,2000
4000,2000
2000,2000
6000,2000
2000,4000
2000,4000
2000,2000
2000,4000
2000,2000
2000,4000
10000,2000
10000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
4000,2000
2000,2000
4000,2000
2000,4000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,4000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
4000,4000
4000,2000
4000,2000
2000,2000
2000,2000
4000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,4000
6000,4000
2000,2000
2000,2000
4000,2000
2000,2000
4000,4000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
4000,4000
4000,2000
6000,2000
2000,2000
4000,2000
4000,4000
4000,2000
2000,2000
2000,4000
2000,2000
2000,2000
2000,2000
6000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,2000
4000,4000
4000,2000
2000,2000
4000,2000
4000,2000
2000,2000
8000,2000
4000,2000
4000,2000
2000,2000
2000,2000
4000,2000
6000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
6000,2000
2000,2000
4000,2000
4000,2000
6000,2000
4000,2000
4000,2000
8000,2000
4000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
6000,2000
6000,4000
2000,4000
4000,6000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
6000,2000
4000,2000
10000,2000
2000,2000
2000,2000
6000,2000
10000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,4000
2000,2000
10000,2000
2000,2000
2000,2000
2000,2000
6000,2000
2000,2000
4000,4000
4000,2000
2000,4000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
6000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,4000
2000,4000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,4000
4000,2000
2000,2000
4000,2000
2000,2000
2000,4000
4000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
4000,4000
2000,2000
4000,2000
2000,2000
2000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,4000
4000,2000
2000,2000
2000,2000
6000,4000
4000,2000
2000,2000
2000,4000
6000,2000
6000,2000
2000,2000
8000,4000
2000,2000
6000,2000
4000,2000
2000,2000
2000,2000
4000,2000
2000,2000
4000,2000
6000,2000
6000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
10000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
6000,2000
2000,2000
4000,4000
6000,2000
2000,2000
6000,2000
2000,2000
2000,2000
2000,2000
6000,2000
6000,2000
2000,2000
2000,4000
4000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,4000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
10000,2000
4000,2000
4000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,6000
4000,2000
2000,2000
8000,2000
4000,2000
2000,2000
4000,2000
2000,2000
6000,2000
4000,2000
2000,4000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
10000,2000
2000,2000
8000,2000
6000,2000
4000,2000
2000,4000
2000,2000
4000,2000
4000,2000
2000,4000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,4000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,4000
4000,2000
2000,2000
2000,4000
4000,2000
8000,2000
2000,2000
8000,4000
2000,2000
8000,2000
2000,4000
2000,4000
2000,2000
2000,2000
2000,4000
10000,2000
4000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,4000
6000,2000
6000,2000
2000,2000
6000,2000
6000,2000
6000,2000
4000,2000
2000,2000
4000,2000
2000,2000
2000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
8000,4000
2000,2000
10000,2000
2000,2000
2000,2000
6000,2000
2000,2000
2000,2000
2000,4000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,4000
2000,2000
2000,2000
2000,2000
2000,2000
8000,2000
2000,2000
2000,4000
2000,4000
2000,2000
2000,2000
2000,2000
6000,2000
2000,2000
6000,2000
8000,2000
8000,2000
4000,2000
10000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
4000,2000
4000,2000
6000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
2000,2000
4000,2000
6000,2000
8000,2000
2000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
6000,2000
4000,2000
2000,2000
2000,2000
2000,4000
4000,2000
2000,2000
2000,2000
8000,2000
4000,2000
4000,2000
2000,2000
2000,2000
6000,2000
2000,2000
4000,4000
2000,2000
6000,4000
8000,2000
6000,2000
8000,2000
2000,2000
2000,2000
2000,2000
4000,2000
6000,2000
2000,2000
4000,2000
8000,4000
2000,2000
8000,2000
4000,4000
8000,4000
2000,2000
2000,2000
2000,2000
10000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
8000,2000
2000,2000
2000,2000
2000,2000
10000,2000
2000,2000
2000,2000
6000,2000
2000,2000
10000,2000
2000,2000
8000,2000
2000,2000
6000,2000
2000,2000
6000,2000
2000,4000
4000,2000
4000,2000
4000,2000
8000,2000
2000,2000
4000,2000
10000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
8000,2000
2000,2000
2000,2000
2000,4000
2000,2000
4000,2000
8000,2000
2000,2000
10000,2000
6000,2000
4000,2000
8000,2000
2000,2000
2000,4000
2000,2000
2000,2000
4000,2000
6000,4000
2000,2000
4000,4000
2000,2000
6000,2000
2000,2000
2000,2000
2000,4000
2000,2000
2000,2000
6000,2000
4000,2000
4000,2000
4000,2000
4000,2000
4000,2000
2000,2000
2000,2000
6000,2000
6000,2000
6000,2000
4000,2000
6000,2000
4000,2000
4000,4000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,2000
6000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,4000
2000,2000
2000,2000
6000,2000
2000,2000
8000,4000
10000,2000
2000,2000
2000,4000
4000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
4000,2000
2000,4000
2000,2000
4000,2000
2000,2000
2000,2000
4000,2000
10000,2000
6000,2000
2000,2000
2000,4000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,4000
6000,2000
8000,2000
2000,2000
4000,2000
4000,2000
2000,4000
2000,2000
2000,2000
2000,2000
2000,2000
6000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,2000
4000,4000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,4000
2000,2000
2000,2000
4000,2000
2000,2000
6000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,2000
2000,2000
2000,2000
2000,2000
8000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,4000
2000,4000
4000,2000
2000,2000
2000,2000
8000,2000
4000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,6000
10000,2000
8000,2000
8000,2000
6000,2000
2000,2000
2000,2000
6000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,4000
2000,2000
6000,2000
2000,2000
2000,4000
2000,2000
4000,2000
8000,2000
8000,2000
4000,2000
10000,2000
4000,2000
2000,2000
2000,4000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
4000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,4000
2000,2000
8000,2000
2000,2000
6000,2000
2000,2000
2000,2000
2000,2000
2000,4000
4000,2000
2000,2000
6000,2000
2000,2000
2000,2000
8000,2000
2000,2000
4000,2000
2000,2000
4000,2000
2000,2000
4000,2000
2000,2000
10000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,2000
8000,2000
6000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
8000,2000
4000,2000
2000,4000
2000,2000
2000,2000
2000,2000
10000,2000
2000,2000
2000,2000
6000,2000
2000,2000
4000,2000
6000,2000
2000,2000
2000,2000
2000,4000
8000,2000
2000,2000
2000,2000
4000,2000
2000,2000
6000,2000
4000,2000
2000,2000
4000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,2000
2000,2000
4000,4000
6000,2000
6000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,6000
4000,4000
6000,6000
6000,6000
2000,2000
2000,2000
2000,2000
2000,2000
6000,6000
4000,4000
10000,10000
2000,2000
2000,2000
2000,2000
4000,4000
4000,4000
2000,2000
2000,2000
2000,2000
4000,4000
6000,6000
4000,4000
10000,10000
4000,4000
2000,2000
4000,4000
2000,2000
4000,4000
4000,4000
8000,8000
2000,2000
10000,10000
4000,4000
4000,4000
2000,2000
2000,2000
8000,8000
2000,2000
4000,4000
2000,2000
8000,8000
4000,4000
4000,4000
2000,2000
2000,2000
6000,6000
10000,10000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
4000,4000
6000,6000
2000,2000
4000,4000
6000,6000
2000,2000
2000,2000
6000,6000
6000,6000
4000,4000
2000,2000
2000,2000
2000,2000
10000,10000
2000,2000
2000,2000
8000,8000
6000,6000
2000,2000
10000,10000
2000,2000
8000,8000
2000,2000
2000,2000
8000,8000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
4000,4000
2000,2000
4000,4000
4000,4000
10000,10000
4000,4000
4000,4000
6000,6000
2000,2000
2000,2000
4000,4000
4000,4000
4000,4000
2000,2000
2000,2000
6000,6000
6000,6000
2000,2000
8000,8000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
10000,10000
8000,8000
2000,2000
2000,2000
2000,2000
2000,2000
8000,8000
2000,2000
4000,4000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
4000,4000
6000,6000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
10000,10000
8000,8000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
8000,8000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
6000,6000
4000,4000
2000,2000
4000,4000
10000,10000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,6000
8000,8000
2000,2000
2000,2000
2000,2000
10000,10000
4000,4000
8000,8000
4000,4000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
6000,6000
6000,6000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
8000,8000
4000,4000
6000,6000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,6000
4000,4000
10000,10000
2000,2000
4000,4000
2000,2000
6000,6000
2000,2000
2000,2000
2000,2000
4000,4000
4000,4000
2000,2000
2000,2000
2000,2000
4000,4000
6000,6000
4000,4000
6000,6000
4000,4000
2000,2000
2000,2000
4000,4000
2000,2000
4000,4000
4000,4000
8000,8000
10000,10000
2000,2000
6000,6000
2000,2000
4000,4000
4000,4000
4000,4000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
2000,2000
6000,6000
4000,4000
10000,10000
4000,4000
4000,4000
8000,8000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
4000,4000
6000,6000
4000,4000
2000,2000
6000,6000
2000,2000
2000,2000
2000,2000
6000,6000
4000,4000
4000,4000
4000,4000
2000,2000
4000,4000
2000,2000
4000,4000
4000,4000
2000,2000
6000,6000
4000,4000
4000,4000
2000,2000
10000,10000
4000,4000
4000,4000
4000,4000
2000,2000
8000,8000
2000,2000
6000,6000
4000,4000
4000,4000
4000,4000
4000,4000
4000,4000
6000,6000
6000,6000
4000,4000
2000,2000
10000,10000
2000,2000
4000,4000
4000,4000
8000,8000
6000,6000
2000,2000
4000,4000
2000,2000
2000,2000
8000,8000
4000,4000
6000,6000
4000,4000
2000,2000
4000,4000
4000,4000
6000,6000
2000,2000
2000,2000
10000,10000
4000,4000
4000,4000
6000,6000
2000,2000
4000,4000
4000,4000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
4000,4000
4000,4000
2000,2000
4000,4000
2000,2000
2000,2000
4000,4000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
6000,6000
4000,4000
2000,2000
8000,8000
4000,4000
2000,2000
4000,4000
6000,6000
2000,2000
2000,2000
4000,4000
10000,10000
2000,2000
4000,4000
4000,4000
4000,4000
2000,2000
2000,2000
2000,2000
2000,2000
6000,6000
2000,2000
2000,2000
2000,2000
4000,4000
2000,2000
4000,4000
6000,6000
4000,4000
4000,4000
2000,2000
10000,10000
6000,6000
2000,2000
2000,2000
2000,2000
6000,6000
2000,2000
4000,4000
2000,2000
4000,4000
2000,2000
4000,4000
2000,2000
2000,2000
2000,2000
